"Category","Shortcut / Key","TTV+ Current Behavior","Industry Standard","Status","Impact","Notes & Recommendations"
"Global Navigation","Tab","To be audited","Move focus to next interactive element","To Be Audited","Critical","WCAG 2.1 SC 2.1.1 – required for all keyboard users"
"Global Navigation","Shift+Tab","To be audited","Move focus to previous interactive element","To Be Audited","Critical","WCAG 2.1 SC 2.1.1 – required for all keyboard users"
"Global Navigation","Skip Navigation Link","To be audited","Skip repeated navigation and jump to main content","To Be Audited","High","WCAG 2.1 SC 2.4.1 – required. Common pattern: ""Skip to main content"" link as first focusable element"
"Global Navigation","Esc (Escape)","To be audited","Close open tooltips, modals, or expanded menus and return focus","To Be Audited","High","Cross-context escape behaviour. Verify focus returns to trigger element after close"
"Global Navigation","F6","To be audited","Move between major UI panes/regions","To Be Audited","Medium","Windows/browser standard for panel navigation"
"Global Navigation","Alt+Left / Alt+Right","To be audited","Browser back/forward – must NOT be intercepted by the app","To Be Audited","High","Hijacking browser shortcuts breaks expected behaviour for keyboard users"
"Global Navigation","? or Shift+?","To be audited","Display keyboard shortcuts help overlay","To Be Audited","Medium","Best practice (YouTube, Netflix). Highly recommended for discoverability"
"Authentication","Tab / Shift+Tab","To be audited","Navigate between email, password fields and buttons","To Be Audited","Critical","WCAG 2.1 SC 2.1.1 – full keyboard access required on login form"
"Authentication","Enter / Return","To be audited","Submit login form when focused on a field or button","To Be Audited","High","Standard form submission behaviour"
"Content Browse & Carousels","Tab / Shift+Tab","To be audited","Move focus between carousels and featured content areas","To Be Audited","Critical","WCAG 2.1 SC 2.1.1"
"Content Browse & Carousels","Left / Right Arrow","To be audited","Move between items within a carousel row","To Be Audited","High","Standard ARIA carousel/listbox pattern"
"Content Browse & Carousels","Enter / Return","To be audited","Open selected content detail page","To Be Audited","High","Standard activation pattern"
"Content Browse & Carousels","Home / End","To be audited","Jump to first / last item in a carousel row","To Be Audited","Medium","ARIA grid/listbox pattern best practice"
"Search","Tab","To be audited","Move focus into search input and through results","To Be Audited","Critical","WCAG 2.1 SC 2.1.1"
"Search","Arrow keys","To be audited","Navigate autocomplete suggestions","To Be Audited","High","ARIA combobox pattern – up/down arrows move through suggestions"
"Search","Enter / Return","To be audited","Submit search or select highlighted suggestion","To Be Audited","High","Standard combobox activation"
"Search","Esc (Escape)","To be audited","Close autocomplete dropdown and return focus to input","To Be Audited","High","ARIA combobox pattern requirement"
"EPG / TV Guide Grid","Left Arrow","Navigates within the grid (exact behavior undocumented)","Move between time slots (e.g., 8:00 PM → 8:30 PM show)","Partial","High","Key is mapped but TTV+ description is missing. Confirm behavior matches standard."
"EPG / TV Guide Grid","Right Arrow","Navigates within the grid (exact behavior undocumented)","Move between time slots (e.g., 8:00 PM → 8:30 PM show)","Partial","High","Key is mapped but TTV+ description is missing. Confirm behavior matches standard."
"EPG / TV Guide Grid","Up Arrow","Navigates within the grid (no description provided)","Move between different channels (e.g., CBC → CTV)","Partial","High","Key is mapped but TTV+ description is missing. Confirm behavior matches standard."
"EPG / TV Guide Grid","Down Arrow","Navigates within the grid (no description provided)","Move between different channels (e.g., CBC → CTV)","Partial","High","Key is mapped but TTV+ description is missing. Confirm behavior matches standard."
"EPG / TV Guide Grid","Tab / Shift+Tab","To be audited","Move focus between grid and surrounding UI controls","To Be Audited","Critical","WCAG 2.1 SC 2.1.1 – focus must not be trapped inside the grid"
"EPG / TV Guide Grid","Page Up / Page Down","Scrolls the grid page up or down","Scroll the page up or down by a full page","Implemented","Medium","Behavior aligns with industry standard."
"EPG / TV Guide Grid","Home / End","To be audited","Jump to first / last item in a grid row","To Be Audited","Medium","ARIA grid pattern best practice"
"EPG / TV Guide Grid","Enter / Return","Select the program to see more details or start watching","Select the program to see more details or start watching","Implemented","High","Fully matches industry standard."
"EPG / TV Guide Grid","Spacebar","Not implemented","Secondary Select or toggle a favourite channel","Missing","Medium","Common secondary action shortcut. Consider adding as a favourite-toggle."
"EPG / TV Guide Grid","N (Now)","Not implemented","Jump the grid back to the current time when scrolled into the future","Missing","Medium","Useful for long-session users who scroll ahead. Recommended addition."
"EPG / TV Guide Grid","D (Day) / Alt+Right Arrow","Not implemented","Jump to the next day's schedule","Missing","Low","Common in EPG/TV guide products. Nice-to-have for power users."
"Content Detail Page","Tab / Shift+Tab","To be audited","Navigate between Watch, Add to Watchlist, Episodes tabs and other controls","To Be Audited","Critical","WCAG 2.1 SC 2.1.1"
"Content Detail Page","Enter / Return","To be audited","Activate focused button or tab","To Be Audited","High","Standard activation pattern"
"Content Detail Page","Arrow keys","To be audited","Navigate between Episodes or season tabs","To Be Audited","Medium","ARIA tab pattern – arrow keys move between tabs"
"Media Player","Spacebar","Play / Pause the video","Play / Pause the video","Implemented","High","Most common play/pause shortcut. Matches standard."
"Media Player","K","Not implemented","Play / Pause the video (YouTube-style alternative)","Missing","Medium","Common in modern streaming platforms (YouTube, Netflix). Low barrier to add."
"Media Player","Left / Right Arrow","Rewind and fast-forward","Seek backward / forward 5 seconds","Implemented","High","Matches standard seek behavior."
"Media Player","J","Not implemented","Rewind 10 seconds","Missing","Medium","YouTube/widely adopted standard. Complements arrow key seeking."
